                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.603,                 3.4658,                 2.0398,                0.34606,                0.33636,                0.27176,                0.11475,                 1.5284,                 9.9087,                 2.3193,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.2893,                 2.5443,                 1.7118,                0.54082,                0.81818,                0.58466,                0.25415,                 1.8497,                 4.2473,                 2.6338,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.4553,                 2.1311,                 1.7958,                0.13056,                0.70909,                 0.1745,                0.07471,                 1.9914,                 96.979,                 2.8498,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.5585,                 1.9372,                 1.7486,                0.26487,                0.86364,                0.35499,                 0.1707,                  1.574,                 62.903,                 3.0585,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.5703,                 1.8512,                 1.8266,                0.08405,                0.75455,                0.12617,                0.04586,                  1.766,                 85.015,                 3.2911,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.7345,                 1.9201,                 1.9475,                0.01299,                0.28182,                0.02319,                0.00499,                 2.8988,                    inf,                 5.1966,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.6689,                 1.9569,                 1.8795,                0.01953,                0.23636,                0.01318,                0.00239,                    nan,                    nan,                    nan,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.6144,                  1.792,                 1.8176,                0.00806,                0.04545,                0.00268,                0.00105,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.6779,                 1.7595,                 1.9296,                0.00806,                0.04545,                0.00268,                0.00105,                    nan,                    nan,                    nan,               0.001228,               0.001228,               0.001228
                     10,                 1.6791,                 1.7254,                 1.8546,                0.00568,                0.04545,                0.00297,                0.00052,                 4.9329,                    nan,                 39.089,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.5758,                 1.6041,                 1.7329,                0.00287,                0.24545,                0.00219,                0.00095,                 4.3222,                 590.32,                 58.066,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.6596,                 1.6976,                 1.8241,                0.00207,                0.37273,                 0.0019,                0.00074,                 3.0904,                 731.46,                 5.9609,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.5746,                 1.6333,                  1.758,                0.00079,                0.29091,                0.00057,                0.00028,                 3.4591,                  767.5,                 7.5963,               0.001469,               0.001469,               0.001469
                     14,                 1.6146,                 1.6037,                   1.79,                0.00646,                0.19091,                0.00211,                 0.0008,                 3.7934,                 324.58,                 6.0287,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5952,                 1.6374,                  1.797,                0.16221,                0.19091,                0.08157,                 0.0307,                 3.0267,                 18.369,                 3.7096,               0.001436,               0.001436,               0.001436
                     16,                 1.6398,                 1.6397,                 1.8272,                0.00413,                0.52727,                0.00356,                0.00177,                 2.0962,                 416.85,                 2.4789,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5044,                 1.4963,                 1.6862,                 0.0031,                0.47273,                0.00212,                0.00093,                 3.0094,                 803.84,                 4.1293,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.511,                 1.4824,                 1.7074,                0.01568,                0.67273,                 0.0141,                0.00657,                 2.2014,                 69.437,                 2.4539,              0.0013864,              0.0013864,              0.0013864
                     19,                   1.59,                 1.5913,                 1.7494,                0.01461,                0.39091,                0.01478,                0.00526,                 2.1554,                 10.584,                 2.4587,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6664,                 1.6125,                 1.8439,                0.01849,                0.28182,                0.02462,                0.00826,                 2.3742,                  4.518,                   2.55,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4833,                 1.3827,                 1.6483,                0.35759,                0.47273,                0.41448,                0.23108,                 1.6625,                 2.6681,                 2.0234,              0.0013369,              0.0013369,              0.0013369
