                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.5592,                 1.3204,                 1.6984,                0.04253,                0.95455,                0.04367,                0.01879,                 1.8516,                 309.56,                 4.1212,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4734,                 1.2988,                  1.619,                0.08005,                0.95455,                0.12663,                0.05775,                 1.7752,                 69.401,                 3.7844,               0.001469,               0.001469,               0.001469
                     14,                 1.4382,                 1.2721,                 1.6563,                0.06092,                0.86364,                0.07187,                0.03697,                 1.7087,                 63.541,                 3.2802,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4672,                 1.2949,                 1.6956,                0.52175,                      1,                 0.8909,                0.44425,                  1.677,                  6.322,                 2.8952,               0.001436,               0.001436,               0.001436
                     16,                 1.4285,                 1.3108,                   1.62,                0.50658,                 0.8132,                 0.8471,                0.45948,                 1.5406,                 3.9737,                 2.5228,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3491,                 1.1701,                 1.5508,                0.55207,                0.86364,                0.88314,                 0.4936,                 1.5245,                 2.8302,                 2.5702,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3489,                  1.127,                 1.5822,                0.65581,                0.78464,                0.70183,                0.33973,                 1.7487,                 2.4054,                  2.647,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3908,                 1.1273,                 1.5758,                0.68833,                0.63624,                0.84408,                0.44467,                 1.4447,                 3.6838,                 2.1965,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3984,                 1.1642,                  1.612,                0.68764,                0.87688,                0.84467,                0.44916,                  1.499,                 2.0444,                 2.1298,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3113,                 1.0469,                 1.5054,                0.72222,                0.88822,                0.83663,                0.44391,                 1.5501,                 1.4131,                 2.2575,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3899,                  1.065,                 1.5724,                0.72363,                0.86364,                0.92396,                 0.5031,                 1.5664,                 1.4745,                  2.288,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3104,                 1.1061,                 1.4817,                0.88803,                0.77822,                 0.8827,                0.41638,                 1.7066,                   1.26,                 2.4057,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.2831,                 1.0242,                 1.4422,                0.73486,                0.98917,                0.91579,                0.53089,                 1.5108,                 0.9618,                 2.2337,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.2986,                 1.0734,                  1.485,                 0.7782,                0.95455,                0.94417,                0.54365,                 1.5316,                 1.0334,                 2.1528,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2351,                0.97947,                 1.4452,                0.62178,                0.77273,                0.84668,                0.49828,                 1.5048,                 2.4451,                 2.2573,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2454,                 1.0198,                 1.4779,                0.79415,                0.80801,                 0.8665,                0.50419,                 1.5154,                 1.1531,                 2.2924,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2813,                0.96017,                 1.4922,                0.80216,                0.94732,                0.91018,                0.44292,                 1.6683,                0.98187,                 2.2229,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2867,                0.91383,                 1.4589,                0.81491,                0.88122,                0.92973,                0.50529,                 1.5861,                0.94211,                 2.0871,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3144,                0.93164,                 1.5101,                0.89827,                0.90909,                0.93069,                0.51931,                 1.5208,                0.85153,                 1.9727,              0.0011884,              0.0011884,              0.0011884
                     31,                  1.221,                0.92689,                 1.4878,                0.67357,                0.84277,                0.84917,                0.43754,                 1.5628,                 1.1966,                 1.9936,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3014,                 1.0237,                 1.5321,                0.91999,                0.82753,                 0.9149,                0.51103,                 1.5463,                 1.1162,                 1.9379,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3159,                 1.0437,                 1.5518,                0.77111,                0.95455,                0.92847,                 0.5002,                  1.543,                 1.0057,                 1.8614,              0.0011389,              0.0011389,              0.0011389
                     34,                  1.256,                0.98806,                 1.4947,                0.89097,                0.95455,                0.95808,                0.55042,                 1.4748,                 1.0267,                 1.8462,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.2047,                0.93955,                   1.45,                0.96243,                0.93202,                0.98808,                0.56006,                 1.4612,                0.80879,                 1.8407,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2468,                0.98625,                 1.4789,                0.80772,                      1,                0.99125,                0.57196,                 1.5595,                0.91495,                 1.9973,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.181,                0.94873,                 1.4187,                0.75479,                      1,                0.91869,                0.56096,                 1.4216,                0.82699,                 1.8035,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.149,                0.98219,                  1.432,                0.85755,                 0.9416,                0.90313,                0.50809,                 1.4228,                0.84191,                 1.8054,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2015,                0.98222,                 1.4296,                0.82314,                0.90139,                 0.8913,                0.48145,                 1.5305,                 1.0654,                 1.9183,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1917,                0.87273,                 1.3883,                0.85694,                0.95455,                0.92341,                0.57055,                 1.5023,                0.96315,                 1.8668,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2097,                 0.8451,                 1.4062,                0.78612,                0.95276,                0.90756,                0.51495,                 1.5494,                0.94781,                 1.9362,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1751,                0.89022,                 1.4428,                0.67723,                0.80909,                0.77061,                0.41345,                 1.7992,                 1.0751,                 2.2742,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1285,                 0.8824,                 1.3991,                0.74965,                0.86895,                0.85928,                0.48542,                 1.5555,                0.99052,                 2.0749,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1221,                0.89944,                 1.4008,                0.72194,                0.90909,                0.86344,                0.49775,                 1.6109,                 0.8833,                 2.1726,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1724,                0.88553,                  1.418,                0.72533,                0.93873,                0.83246,                0.44574,                 1.6188,                0.88042,                  2.169,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1073,                0.86663,                  1.382,                0.76521,                0.82716,                0.84948,                0.42184,                  1.759,                0.91649,                 2.3699,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1352,                0.87719,                 1.4421,                0.90095,                 0.7705,                0.89486,                0.47301,                 1.7312,                0.87941,                 2.2856,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0478,                0.77286,                 1.3348,                0.95134,                0.88856,                0.96268,                0.52365,                 1.6757,                0.72081,                 2.1858,             0.00089134,             0.00089134,             0.00089134
                     49,                  1.119,                0.75155,                 1.3252,                0.94814,                0.98592,                0.99125,                0.54669,                 1.6512,                0.75288,                 2.1525,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0654,                0.78253,                 1.3445,                0.83504,                      1,                0.96333,                0.49003,                  1.763,                0.77891,                 2.2577,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1279,                0.81509,                 1.3433,                0.91659,                0.91829,                0.94503,                0.51989,                 1.7163,                0.74704,                 2.1962,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0987,                0.82075,                 1.3742,                0.90905,                0.95455,                0.98808,                0.54163,                 1.6606,                0.70521,                 2.1411,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1174,                0.78638,                 1.4151,                0.96587,                0.95455,                0.99125,                 0.5174,                 1.6389,                0.71215,                 2.1883,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0424,                0.81861,                 1.3666,                0.92944,                      1,                0.99125,                0.50707,                 1.6697,                0.77332,                 2.1789,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0044,                0.76421,                 1.3484,                0.93812,                      1,                  0.995,                0.55479,                 1.5739,                0.70194,                 2.0461,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1209,                0.80862,                 1.3744,                0.85596,                0.91001,                0.97458,                0.58569,                 1.4731,                0.74383,                 1.9659,             0.00075932,             0.00075932,             0.00075932
                     57,                0.95585,                0.74579,                  1.309,                0.84228,                0.89804,                0.95417,                0.55084,                 1.5413,                 0.8532,                 2.0537,             0.00074282,             0.00074282,             0.00074282
                     58,                0.96958,                0.77718,                 1.2899,                0.86072,                0.90909,                0.96732,                0.54776,                 1.5105,                0.79165,                 1.9743,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.0012,                0.80456,                 1.3267,                0.95526,                0.91972,                 0.9875,                0.60817,                 1.4876,                0.73848,                 1.8901,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98587,                0.79909,                 1.3141,                0.77712,                0.96356,                0.94292,                0.54989,                 1.5408,                0.75207,                  2.028,             0.00069331,             0.00069331,             0.00069331
                     61,                0.95152,                0.75631,                 1.2833,                0.83455,                0.93224,                0.92512,                0.52171,                 1.5519,                0.75932,                 2.0749,              0.0006768,              0.0006768,              0.0006768
                     62,                0.97118,                0.74765,                 1.2989,                0.79219,                0.95455,                0.87827,                0.49289,                 1.5324,                0.82553,                 2.0664,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.0074,                0.78002,                 1.3601,                0.83213,                0.90909,                0.85768,                0.47224,                 1.5459,                0.88022,                  2.109,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0061,                 0.7389,                 1.2807,                0.79646,                0.92137,                0.92418,                0.52105,                 1.5167,                0.83137,                 2.1068,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0025,                0.75718,                 1.3101,                0.90943,                    0.8,                0.89762,                0.54453,                 1.5734,                0.96707,                  2.161,             0.00061079,             0.00061079,             0.00061079
                     66,                0.97173,                0.71121,                 1.2753,                0.88391,                0.79323,                0.88346,                0.51509,                 1.6133,                 1.0124,                 2.1633,             0.00059429,             0.00059429,             0.00059429
                     67,                0.97546,                 0.7376,                 1.3226,                0.87224,                0.78736,                0.87708,                0.51143,                 1.6235,                0.97056,                 2.1611,             0.00057778,             0.00057778,             0.00057778
                     68,                0.90199,                0.70354,                 1.2359,                0.92984,                    0.7,                0.86972,                0.50044,                 1.5939,                0.86525,                 2.0947,             0.00056128,             0.00056128,             0.00056128
                     69,                0.97536,                0.71136,                 1.2661,                0.90586,                0.87779,                 0.9425,                0.54366,                 1.5805,                0.80556,                 2.0728,             0.00054478,             0.00054478,             0.00054478
                     70,                0.96106,                0.72113,                  1.301,                 0.9524,                0.89341,                0.96708,                0.51496,                  1.596,                 0.7353,                 2.1494,             0.00052827,             0.00052827,             0.00052827
                     71,                0.91836,                0.67847,                 1.2599,                0.94023,                0.94748,                 0.9875,                0.53535,                 1.6292,                0.73805,                 2.1488,             0.00051177,             0.00051177,             0.00051177
                     72,                0.89829,                0.68672,                 1.2446,                0.94476,                0.89082,                0.96268,                0.55051,                 1.5844,                0.72713,                 2.0127,             0.00049527,             0.00049527,             0.00049527
                     73,                0.96526,                0.81059,                 1.3156,                0.87085,                0.99744,                0.97833,                0.57299,                 1.5836,                0.71411,                   2.01,             0.00047876,             0.00047876,             0.00047876
                     74,                0.85102,                0.67833,                 1.2305,                0.85477,                0.98263,                0.97083,                 0.5655,                 1.5551,                0.74483,                 2.0439,             0.00046226,             0.00046226,             0.00046226
                     75,                0.94964,                0.71021,                 1.2766,                0.95378,                0.89253,                0.95143,                0.52787,                 1.5384,                0.81321,                 2.0384,             0.00044576,             0.00044576,             0.00044576
                     76,                0.88191,                0.66831,                 1.2409,                0.87028,                0.88983,                0.91196,                0.50117,                 1.5349,                0.90242,                 2.0151,             0.00042925,             0.00042925,             0.00042925
                     77,                0.88086,                0.65043,                 1.2589,                0.86532,                    0.9,                0.90721,                0.48074,                 1.5476,                0.94218,                 2.0883,             0.00041275,             0.00041275,             0.00041275
                     78,                0.79804,                0.65007,                 1.1632,                0.93809,                    0.9,                0.92545,                 0.5088,                 1.5542,                0.88182,                  2.097,             0.00039625,             0.00039625,             0.00039625
                     79,                0.89057,                0.71273,                 1.2152,                0.91095,                    0.9,                 0.9425,                 0.5525,                 1.5284,                0.79355,                 2.0767,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.8653,                0.67453,                 1.2353,                0.82213,                0.87678,                0.98808,                0.58446,                 1.4773,                0.76379,                 2.0048,             0.00036324,             0.00036324,             0.00036324
                     81,                0.87231,                0.72784,                 1.2822,                 0.8159,                0.93707,                0.98808,                0.56772,                 1.4776,                0.77016,                 2.0242,             0.00034674,             0.00034674,             0.00034674
                     82,                0.85083,                0.64307,                 1.2253,                0.83468,                0.94487,                0.98808,                 0.5783,                 1.4627,                0.75565,                 2.0147,             0.00033023,             0.00033023,             0.00033023
                     83,                0.88973,                0.66358,                 1.2149,                0.83887,                0.90909,                0.98399,                0.54698,                 1.4896,                0.72164,                  2.035,             0.00031373,             0.00031373,             0.00031373
                     84,                0.85874,                0.66173,                 1.2021,                0.79613,                 0.9904,                 0.9875,                0.55804,                 1.5248,                0.73208,                 2.0387,             0.00029723,             0.00029723,             0.00029723
                     85,                0.82262,                0.61473,                 1.1969,                0.89846,                0.95087,                 0.9875,                 0.5739,                 1.5702,                0.71777,                 2.0764,             0.00028072,             0.00028072,             0.00028072
                     86,                0.82225,                0.63676,                 1.1955,                0.93568,                0.97759,                0.96875,                0.57378,                 1.5635,                0.70715,                 2.0944,             0.00026422,             0.00026422,             0.00026422
                     87,                0.91831,                0.67353,                 1.2711,                0.91853,                0.98262,                0.96875,                0.57276,                 1.5712,                0.68957,                 2.1194,             0.00024772,             0.00024772,             0.00024772
                     88,                0.88683,                0.66896,                 1.2836,                0.94485,                0.98817,                 0.9725,                0.57519,                 1.5691,                0.67047,                 2.1278,             0.00023121,             0.00023121,             0.00023121
                     89,                0.87918,                0.65519,                 1.2967,                 0.9536,                0.93732,                0.97625,                 0.5768,                  1.548,                0.66961,                 2.0816,             0.00021471,             0.00021471,             0.00021471
                     90,                0.79178,                0.62258,                 1.2215,                0.86539,                0.92704,                0.98375,                0.58217,                 1.5483,                0.71108,                   2.06,             0.00019821,             0.00019821,             0.00019821
                     91,                0.82885,                0.56869,                 1.3577,                0.89249,                0.90909,                0.98399,                0.58357,                  1.566,                0.68318,                 2.0795,              0.0001817,              0.0001817,              0.0001817
                     92,                0.73876,                0.46378,                 1.2607,                0.89362,                0.92087,                0.98808,                0.56149,                  1.561,                 0.6757,                 2.1403,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.8019,                0.49235,                 1.3413,                0.90817,                0.91962,                0.99125,                0.58768,                 1.5992,                0.66959,                 2.1834,              0.0001487,              0.0001487,              0.0001487
                     94,                0.85026,                0.53748,                 1.3875,                0.95433,                0.91752,                  0.995,                0.59366,                 1.6018,                0.65204,                 2.1808,             0.00013219,             0.00013219,             0.00013219
                     95,                0.74712,                0.47625,                 1.2597,                0.95809,                0.97628,                  0.995,                0.59301,                 1.6126,                0.64185,                 2.2026,             0.00011569,             0.00011569,             0.00011569
                     96,                0.70115,                0.42714,                 1.1988,                0.97779,                0.99033,                  0.995,                0.59107,                  1.613,                0.64433,                 2.1728,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68203,                0.48965,                 1.2166,                0.98948,                0.99201,                  0.995,                0.61036,                 1.6024,                0.66144,                 2.1554,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.76837,                0.49025,                 1.2389,                0.99134,                0.99577,                  0.995,                 0.6068,                 1.6066,                0.67725,                 2.1616,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 0.7233,                 0.4789,                 1.2142,                0.98989,                0.99082,                  0.995,                0.60487,                 1.5663,                0.66291,                 2.1254,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.6899,                 0.4495,                  1.202,                 0.9624,                0.97916,                  0.995,                0.60816,                 1.5616,                0.66552,                 2.1261,             3.3173e-05,             3.3173e-05,             3.3173e-05
