                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5971,                 3.4869,                 2.0451,                0.38234,                0.76364,                 0.4693,                0.17497,                 1.6792,                 12.374,                 2.5166,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.3339,                 2.4675,                 1.7422,                0.50852,                0.84292,                0.72945,                0.38444,                  1.482,                 4.1598,                 2.1376,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.4534,                 1.9777,                 1.7784,                0.36081,                0.50909,                0.50741,                0.20158,                 2.0707,                 5.8152,                  2.681,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.5517,                  1.785,                 1.7357,                0.44176,                0.90909,                0.64735,                0.32466,                 1.6775,                 8.8797,                 3.0802,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.5033,                 1.6423,                  1.759,                 0.1932,                    0.7,                0.27024,                0.15579,                 1.4166,                  36.32,                 2.5327,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.5124,                 1.5948,                 1.7419,                0.02632,                0.76364,                0.04721,                0.01861,                  1.783,                    inf,                 5.1188,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.5976,                 1.5004,                 1.7736,                0.01786,                0.85455,                0.01938,                0.00718,                  2.059,                    inf,                 3.8544,             0.00097215,             0.00097215,             0.00097215
                      8,                  1.561,                 1.5988,                 1.7489,                0.01997,                0.70909,                0.04164,                0.02314,                 1.8171,                 305.66,                 3.3314,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.5865,                 1.4375,                 1.8057,                0.00983,                0.81818,                 0.0268,                0.00749,                 2.6863,                    inf,                 18.449,               0.001228,               0.001228,               0.001228
                     10,                 1.5043,                 1.3545,                 1.7038,                0.02132,                    0.9,                0.02597,                0.01862,                 1.8955,                    inf,                 38.997,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.4615,                 1.3577,                 1.6544,                0.00777,                0.70909,                0.00787,                0.00321,                  1.909,                    inf,                 5.5954,              0.0014719,              0.0014719,              0.0014719
