                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6099,                 3.4614,                 2.0479,                0.45796,                0.71863,                0.32055,                0.11944,                 1.5727,                 10.268,                 2.4475,             0.00013336,             0.00013336,             0.00013336
                      2,                  1.311,                 2.4199,                 1.6911,                0.29836,                    0.9,                0.55185,                0.25475,                 1.6604,                 18.948,                  2.535,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.4621,                 1.9275,                 1.7451,                0.33411,                0.55455,                0.42328,                0.16673,                 2.1568,                  9.867,                 3.1926,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.5185,                 1.8688,                  1.757,                0.07035,                0.62727,                0.13785,                 0.0622,                 2.9219,                 273.06,                 3.6363,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.5568,                 1.7247,                 1.7838,                0.02578,                0.60909,                0.07716,                0.02224,                 2.1911,                    inf,                 9.1123,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.6282,                 1.7375,                 1.8202,                0.00786,                0.67273,                 0.0189,                0.00911,                 2.6442,                    inf,                 6.7986,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.6125,                 1.6339,                 1.8474,                 0.1229,                0.41818,                0.11537,                0.06932,                 1.8182,                 98.357,                 6.7448,             0.00097215,             0.00097215,             0.00097215
                      8,                  1.555,                 1.4871,                 1.7522,                0.18182,                0.18182,                0.13103,                0.03997,                 3.1146,                 486.81,                 6.8424,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.6916,                 1.4715,                 1.9188,                0.09394,                0.48182,                0.08297,                0.03095,                 2.4492,                 65.015,                 12.824,               0.001228,               0.001228,               0.001228
                     10,                 1.5378,                 1.3157,                 1.7888,                0.01874,                0.47273,                0.06083,                0.01367,                 2.9945,                    inf,                 60.832,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.5581,                 1.2751,                 1.7074,                0.02586,                0.56364,                0.02459,                0.00952,                 2.1357,                 666.45,                 4.7753,              0.0014719,              0.0014719,              0.0014719
                     12,                  1.465,                 1.3216,                 1.6731,                0.01943,                0.22727,                0.01325,                0.00374,                 2.6648,                 236.19,                 3.8572,              0.0014855,              0.0014855,              0.0014855
