                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5997,                 3.4677,                 2.0353,                0.51227,                0.43636,                0.27759,                0.13187,                  1.573,                 9.9497,                 2.4743,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.3777,                  2.422,                 1.6992,                0.19182,                0.77273,                0.27258,                0.07538,                 2.9358,                 39.593,                 8.3323,             0.00027778,             0.00027778,             0.00027778
                      3,                 1.5308,                 2.0657,                  1.809,                0.21845,                0.80909,                0.28802,                0.10697,                 1.9096,                 13.646,                 3.0834,             0.00041626,             0.00041626,             0.00041626
                      4,                 1.5538,                 1.8878,                 1.7403,                0.64286,                    0.2,                 0.2231,                0.10591,                 1.7734,                 41.519,                 2.2119,             0.00054879,             0.00054879,             0.00054879
                      5,                 1.6302,                 1.8201,                 1.7813,                0.02507,                0.71818,                0.03449,                0.01101,                 2.2972,                    inf,                 30.024,             0.00067539,             0.00067539,             0.00067539
                      6,                  1.717,                 1.7476,                 1.8746,                0.01345,                0.80909,                0.01375,                0.00513,                 2.6465,                    inf,                 11.156,             0.00079604,             0.00079604,             0.00079604
                      7,                 1.6612,                 1.6529,                 1.8131,                0.02747,                0.66364,                 0.0277,                0.00569,                 3.4721,                 279.85,                 19.406,             0.00091076,             0.00091076,             0.00091076
                      8,                 1.7576,                 1.8514,                 1.8905,                0.00633,                0.90909,                0.00819,                0.02175,                 2.6374,                    inf,                  15.66,              0.0010195,              0.0010195,              0.0010195
                      9,                 1.6746,                 1.6845,                 1.8639,                0.00777,                0.48182,                0.01098,                0.00261,                 3.2151,                 485.45,                 9.0679,              0.0011224,              0.0011224,              0.0011224
                     10,                 1.6384,                 1.5771,                 1.7927,                0.00024,                0.04545,                0.00033,                  7e-05,                   2.94,                    inf,                 69.986,              0.0012192,              0.0012192,              0.0012192
                     11,                 1.6469,                 1.6267,                 1.7804,                0.00017,                    0.1,                 0.0001,                  1e-05,                 3.1013,                    inf,                 10.158,              0.0013102,              0.0013102,              0.0013102
                     12,                  1.591,                 1.4411,                 1.7461,                0.00268,                0.67273,                  0.004,                0.00114,                 3.2487,                 6.6522,                 3.9332,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.5782,                 1.5417,                 1.7456,                0.07758,                0.04545,                0.02644,                0.01421,                 2.0823,                 12.935,                  2.444,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.5693,                 1.4512,                 1.7555,                0.00244,                0.51818,                0.00208,                0.00088,                 2.9208,                 57.188,                 3.3363,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.5229,                 1.4594,                   1.76,                0.00586,                0.50909,                0.00521,                0.00194,                 2.7583,                 232.36,                  3.951,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.6057,                 1.4569,                 1.7594,                0.40823,                0.65455,                0.47502,                0.19662,                 1.8626,                 5.2583,                 2.3913,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.5003,                 1.3076,                 1.6445,                0.15448,                0.29091,                0.16787,                0.05309,                 2.3392,                 8.2772,                 3.4169,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.6075,                 1.4214,                 1.7634,                0.18787,                0.67273,                0.30392,                0.13892,                 1.7006,                 4.3209,                 2.2225,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.5837,                 1.4181,                 1.7282,                0.25201,                0.80909,                0.27804,                0.14263,                 1.5992,                 2.5218,                 1.9895,              0.0010729,              0.0010729,              0.0010729
                     20,                  1.537,                 1.3246,                 1.7258,                0.44013,                0.75804,                0.56407,                0.24647,                 1.7719,                 2.2781,                 2.1175,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.4615,                    1.3,                  1.619,                0.53456,                0.58164,                0.48228,                0.22441,                 1.5793,                 1.9237,                 2.0911,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.5363,                 1.2295,                 1.6766,                0.83342,                0.61457,                0.64841,                0.37011,                 1.4356,                 1.9179,                 1.8312,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.5272,                 1.1742,                 1.6181,                0.69134,                0.31818,                0.29865,                0.11125,                 1.9364,                 3.8963,                 2.2759,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.3832,                 1.1224,                 1.5046,                0.47814,                0.32727,                 0.1429,                0.06342,                 2.4567,                 5.7838,                 2.9698,             0.00090785,             0.00090785,             0.00090785
                     25,                  1.561,                 1.2854,                 1.6712,                0.39588,                 0.3633,                0.26105,                0.08105,                 2.6164,                   2.76,                 3.1373,             0.00087484,             0.00087484,             0.00087484
