                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4322,                 1.1172,                 1.6118,                0.62116,                0.90301,                0.86896,                0.50023,                 1.5345,                 1.0974,                 1.8724,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4246,                 1.2049,                 1.6295,                0.82887,                0.80909,                0.86848,                0.48318,                  1.487,                  1.173,                 1.8404,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.4399,                 1.1148,                 1.6028,                0.85469,                    0.9,                 0.8812,                0.56729,                 1.3508,                 1.3533,                 1.7026,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4635,                  1.217,                 1.6378,                0.83246,                0.78214,                0.83214,                0.39828,                 1.7065,                 1.6404,                 1.9478,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.459,                 1.1588,                 1.6146,                0.92907,                    0.8,                0.75778,                0.43986,                 1.5755,                  1.043,                 1.8982,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4667,                 1.0866,                 1.6107,                0.94545,                    0.9,                 0.8694,                0.49842,                 1.4889,                0.93044,                 1.8033,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4937,                 1.0577,                 1.6199,                0.95694,                0.87457,                0.89278,                0.46419,                 1.6968,                 1.0244,                 1.9319,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4326,                 1.0782,                 1.6384,                0.76743,                 0.7032,                0.72636,                0.37498,                 1.7154,                 1.3511,                 2.0945,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3929,                 1.0727,                 1.6003,                 0.8405,                0.60308,                0.76004,                0.41587,                 1.5504,                 1.5505,                 1.9755,             0.00097386,             0.00097386,             0.00097386
                     44,                  1.379,                 1.0802,                 1.6032,                0.94239,                0.89635,                0.92625,                0.57215,                 1.3981,                0.78131,                 1.6878,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.4098,                 1.1314,                 1.5781,                0.94397,                0.89474,                0.88224,                 0.5007,                 1.5075,                0.86372,                 1.7293,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.4059,                 1.0692,                 1.5888,                0.66209,                 0.8691,                0.81615,                0.42174,                 1.6728,                0.96952,                 1.8855,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.3827,                 1.1025,                 1.6186,                0.84426,                 0.8156,                0.90423,                0.49202,                 1.5016,                 1.0262,                 1.8307,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3378,                0.97758,                 1.5248,                0.88182,                0.75455,                0.89049,                0.48547,                 1.6325,                 1.0367,                 1.9345,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.4087,                0.98013,                  1.492,                0.78925,                    0.9,                0.87299,                0.48022,                 1.5069,                 1.0024,                 1.8565,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.4003,                0.98835,                 1.5832,                0.85683,                    0.9,                0.86937,                0.51076,                 1.4487,                0.97814,                 1.7717,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.4261,                 1.0322,                 1.5472,                0.82474,                    0.9,                0.89023,                0.50608,                 1.4822,                0.86996,                 1.7777,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3936,                 1.0139,                 1.5517,                 0.9305,                0.89361,                0.90191,                0.50969,                 1.4995,                0.83148,                 1.7568,             0.00082533,             0.00082533,             0.00082533
